week_start,days_in_week,legs,legs_per_day,distinct_inhouse_drivers,distinct_affiliate_drivers,inhouse_driver_days,affiliate_driver_days,inhouse_legs,affiliate_legs,unassigned_legs,legs_per_inhouse_driver_day,inhouse_raw_span_p75_h,distinct_vehicles_rostered,regime
2026-03-16,7,615,87.86,21,11,79,43,443,172,0,5.608,12.86,12,prior
2026-03-23,7,646,92.29,20,11,83,34,479,167,0,5.771,13.33,13,prior
2026-03-30,7,669,95.57,19,10,80,33,494,175,0,6.175,13.0,12,prior
2026-04-06,7,666,95.14,20,11,87,37,497,169,0,5.713,12.75,13,prior
2026-04-13,7,557,79.57,20,9,84,30,463,94,0,5.512,12.55,13,prior
2026-04-20,7,642,91.71,18,9,84,32,494,148,0,5.881,12.76,13,prior
2026-04-27,7,664,94.86,20,10,84,39,487,176,1,5.798,12.56,13,prior
2026-05-04,7,639,91.29,19,9,85,29,488,150,1,5.741,12.19,14,prior
2026-05-11,7,609,87.0,18,8,86,20,487,122,0,5.663,12.29,13,prior
2026-05-18,7,592,84.57,19,5,93,19,516,76,0,5.548,13.13,13,prior
2026-05-25,7,650,92.86,20,8,93,30,527,123,0,5.667,13.36,13,prior
2026-06-01,7,639,91.29,20,8,90,23,522,117,0,5.8,12.67,13,prior
2026-06-08,7,669,95.57,22,6,103,27,576,92,1,5.592,13.2,13,prior
2026-06-15,7,628,89.71,21,5,96,22,552,76,0,5.75,13.09,13,prior
2026-06-22,7,652,93.14,21,7,96,23,558,94,0,5.812,13.01,13,prior
2026-06-29,7,603,86.14,24,6,92,23,530,73,0,5.761,12.35,13,prior
2026-07-06,7,629,89.86,24,5,103,26,557,72,0,5.408,13.5,13,prior
2026-07-13,7,601,85.86,23,6,101,19,527,73,1,5.218,12.32,13,prior
2026-07-20,7,631,90.14,22,6,100,23,531,100,0,5.31,12.59,14,current
2026-07-27,7,687,98.14,23,9,104,28,556,131,0,5.346,13.57,15,current
2026-08-03,7,816,116.57,24,8,106,35,626,190,0,5.906,13.58,16,current
2026-08-10,7,814,116.29,23,7,112,28,680,134,0,6.071,13.31,16,current
2026-08-17,5,478,95.6,24,3,65,12,427,50,1,6.569,11.44,16,current
